source_dataset,task_type,temporal_scope,response_format,content_dimension,count,percentage
streamo,QA,,,,274243,58.87
streamo,Event_Grounding,,,,99727,21.41
streamo,Narration,,,,33772,7.25
streamo,Event_Caption,,,,31159,6.69
streamo,Action_Caption,,,,26931,5.78
thinkstream,Continuous Output,Current,Open-ended,Procedural State & Evolution,44528,18.58
thinkstream,Event Trigger,Current,Open-ended,Global Scene & Context,44146,18.42
thinkstream,Event Trigger,Future,Open-ended,Entity & Attribute Perception,22086,9.22
thinkstream,Real-time Dialogue,Current,Multiple Choice,Spatial & Geometric Relationships,18230,7.61
thinkstream,Real-time Dialogue,Current,Open-ended,Causal & Logical Reasoning,18150,7.57
thinkstream,Real-time Dialogue,Past,Open-ended,Causal & Logical Reasoning,18148,7.57
thinkstream,Real-time Dialogue,Past,Multiple Choice,Optical Character Recognition,18064,7.54
thinkstream,Real-time Dialogue,Future,Multiple Choice,Procedural State & Evolution,9074,3.79
thinkstream,Real-time Dialogue,Future,Open-ended,Entity & Attribute Perception,9058,3.78
thinkstream,Real-time Dialogue,Current,Binary,Causal & Logical Reasoning,6872,2.87
thinkstream,Real-time Dialogue,Past,Binary,Procedural State & Evolution,6866,2.87
thinkstream,Real-time Dialogue,Future,Binary,Spatial & Geometric Relationships,3444,1.44
thinkstream,Real-time Dialogue,Past,Counting,Entity & Attribute Perception,1266,0.53
thinkstream,Real-time Dialogue,Current,Counting,Action & Activity Semantics,1264,0.53
thinkstream,Real-time Dialogue,Future,Counting,Entity & Attribute Perception,580,0.24
